timestamp,lane_1_avg_density,lane_1_volume,lane_2_avg_density,lane_2_volume,lane_3_avg_density,lane_3_volume,lane_4_avg_density,lane_4_volume
2026-08-16 06:00:00,11.23,162,16.08,118,8.77,103,18.21,115
2026-08-16 06:00:50,11.63,150,16.07,127,8.77,107,17.34,94
2026-08-16 06:01:40,11.42,153,16.75,122,8.09,97,17.59,105
2026-08-16 06:02:30,11.92,163,16.2,114,8.0,97,17.69,111
2026-08-16 06:03:20,13.11,178,16.2,118,9.34,113,17.11,107
2026-08-16 06:04:10,12.57,168,15.76,119,8.63,102,17.36,126
2026-08-16 06:05:00,12.11,169,15.4,113,7.89,97,16.96,107
2026-08-16 06:05:50,13.31,173,15.19,111,7.55,86,16.85,97
2026-08-16 06:06:40,13.61,182,15.41,107,6.82,89,18.35,111
2026-08-16 06:07:30,12.77,174,15.06,105,7.18,92,19.34,104
2026-08-16 06:08:20,12.94,178,16.09,105,8.85,104,18.01,109
2026-08-16 06:09:10,12.2,171,15.3,126,9.08,114,18.62,107
2026-08-16 06:10:00,11.56,152,15.17,101,8.76,112,19.13,122
2026-08-16 06:10:50,11.64,150,14.86,104,8.44,96,17.93,106
2026-08-16 06:11:40,9.8,145,16.04,110,7.01,86,18.53,112
2026-08-16 06:12:30,8.41,123,16.08,124,8.01,96,19.63,114
2026-08-16 06:13:20,8.24,114,16.75,118,7.99,95,18.37,124
2026-08-16 06:14:10,7.69,122,15.38,122,7.87,103,17.46,105
2026-08-16 06:15:00,8.39,121,15.55,108,10.84,127,18.27,124
2026-08-16 06:15:50,7.9,122,16.18,119,10.73,126,18.35,117
2026-08-16 06:16:40,7.04,105,16.08,110,9.67,107,18.64,117
2026-08-16 06:17:30,8.83,138,16.75,138,9.07,114,18.7,116
2026-08-16 06:18:20,8.87,137,16.1,107,9.98,114,18.8,117
2026-08-16 06:19:10,9.15,128,17.02,125,9.82,118,17.46,94
2026-08-16 06:20:00,8.07,123,18.49,136,8.26,104,18.27,109
2026-08-16 06:20:50,7.93,119,17.68,129,9.08,118,19.06,121
2026-08-16 06:21:40,8.37,129,16.92,120,8.33,97,18.57,113
2026-08-16 06:22:30,7.64,106,17.73,125,10.0,105,18.31,102
2026-08-16 06:23:20,8.36,124,18.52,131,10.7,128,16.85,104
2026-08-16 06:24:10,8.1,124,17.56,124,9.9,128,17.29,118
2026-08-16 06:25:00,8.15,107,16.82,129,10.78,134,17.72,117
2026-08-16 06:25:50,7.92,108,16.3,135,10.43,125,17.55,107
2026-08-16 06:26:40,9.87,126,15.02,106,10.84,126,18.38,119
2026-08-16 06:27:30,9.89,137,14.27,95,10.85,133,17.88,107
2026-08-16 06:28:20,8.98,132,13.55,101,9.65,112,18.19,99
2026-08-16 06:29:10,9.86,147,13.12,119,8.81,110,17.15,99
2026-08-16 06:30:00,8.8,126,13.32,93,9.61,119,17.08,116
2026-08-16 06:30:50,9.16,140,13.69,115,9.05,116,16.9,103
2026-08-16 06:31:40,7.55,102,15.02,124,8.51,119,17.06,104
2026-08-16 06:32:30,6.74,91,14.18,101,7.55,97,16.71,101
2026-08-16 06:33:20,7.38,108,14.99,114,7.98,97,16.61,116
2026-08-16 06:34:10,8.4,123,14.75,122,9.83,118,17.31,118
2026-08-16 06:35:00,8.76,125,14.67,105,8.56,97,16.86,120
2026-08-16 06:35:50,8.82,113,15.15,109,8.46,101,15.51,96
2026-08-16 06:36:40,8.7,124,14.18,100,9.64,114,17.12,108
2026-08-16 06:37:30,7.55,103,14.51,99,9.29,110,18.19,100
2026-08-16 06:38:20,7.25,111,14.61,102,9.47,115,16.89,115
2026-08-16 06:39:10,7.21,109,14.96,100,8.24,98,17.42,99
2026-08-16 06:40:00,8.51,116,15.09,111,8.55,111,16.88,106
2026-08-16 06:40:50,8.98,125,16.86,115,8.25,103,17.06,98
2026-08-16 06:41:40,7.53,104,15.99,118,9.05,110,17.23,102
2026-08-16 06:42:30,8.13,117,15.32,99,9.92,118,16.94,99
2026-08-16 06:43:20,8.01,122,14.68,111,11.93,140,16.24,97
2026-08-16 06:44:10,7.64,106,14.18,112,11.81,142,15.71,95
2026-08-16 06:45:00,8.47,125,13.7,86,11.47,130,15.08,92
2026-08-16 06:45:50,9.53,131,14.69,111,11.06,127,14.62,99
2026-08-16 06:46:40,10.34,139,15.71,124,10.22,121,14.85,87
2026-08-16 06:47:30,9.48,133,15.04,101,10.12,114,14.51,94
2026-08-16 06:48:20,9.2,124,14.26,119,9.46,111,15.37,105
