timestamp,lane_1_avg_density,lane_1_volume,lane_2_avg_density,lane_2_volume,lane_3_avg_density,lane_3_volume,lane_4_avg_density,lane_4_volume
2026-09-02 13:35:21,10.4,29,11.5,29,7.3,14,15.8,12
2026-09-02 13:36:19,13.52,27,12.78,20,7.7,11,14.38,24
2026-09-02 13:37:17,11.37,29,12.39,12,7.88,12,9.86,12
2026-09-02 13:38:16,11.0,15,11.28,17,7.78,12,10.48,24
2026-09-02 13:39:14,11.47,27,9.0,10,7.94,16,13.9,13
2026-09-02 13:40:13,9.52,22,10.62,17,7.94,8,5.89,1
2026-09-02 13:41:11,9.81,12,11.28,19,8.12,16,4.3,1
2026-09-02 13:42:09,9.96,30,11.39,18,7.32,10,13.12,20
2026-09-02 13:43:08,6.79,13,10.69,17,7.25,18,14.76,24
2026-09-02 13:44:06,10.03,26,9.65,12,10.32,23,15.15,24
2026-09-02 13:45:05,11.19,21,9.95,19,10.26,25,8.99,10
2026-09-02 13:46:03,9.6,27,10.83,23,9.67,13,18.3,31
2026-09-02 13:47:01,9.48,29,10.8,13,9.07,6,21.59,23
2026-09-02 13:48:00,10.66,18,10.75,17,7.53,2,22.23,26
2026-09-02 13:48:58,9.93,13,10.21,17,7.61,11,15.19,30
2026-09-02 13:49:57,9.52,20,11.13,25,7.15,3,17.85,23
2026-09-02 13:50:55,7.02,22,11.51,24,8.13,3,21.73,13
2026-09-02 13:51:53,9.24,19,10.21,12,6.75,9,18.04,30
2026-09-02 13:52:52,9.76,18,11.75,19,4.39,3,16.13,23
2026-09-02 13:53:50,10.35,25,12.72,10,4.87,14,14.05,18
2026-09-02 13:54:49,7.35,1,13.33,14,6.48,23,17.16,34
2026-09-02 13:55:47,11.44,20,12.23,19,9.31,13,15.61,17
2026-09-02 13:56:45,11.11,15,11.47,22,9.49,16,14.33,26
2026-09-02 13:57:44,9.89,24,9.52,21,7.47,3,8.91,17
2026-09-02 13:58:42,13.64,23,11.29,16,7.06,13,4.8,33
2026-09-02 13:59:41,12.04,19,7.9,5,6.04,7,12.91,5
2026-09-02 14:00:39,8.46,17,8.54,17,6.23,4,20.36,28
2026-09-02 14:01:37,8.24,10,9.0,14,5.59,1,21.92,30
2026-09-02 14:02:36,4.61,13,11.12,20,4.41,19,25.09,39
2026-09-02 14:03:34,8.62,16,11.06,18,5.91,1,19.01,22
2026-09-02 14:04:33,8.3,17,9.53,20,6.54,4,17.34,19
2026-09-02 14:05:31,7.5,14,7.9,17,6.53,11,18.04,35
2026-09-02 14:06:29,10.38,28,7.99,19,7.07,14,16.26,19
2026-09-02 14:07:28,7.04,17,9.33,12,9.17,16,22.66,31
2026-09-02 14:08:26,9.1,24,10.04,22,8.41,14,14.27,20
2026-09-02 14:09:25,5.5,18,10.08,13,7.42,7,12.29,22
2026-09-02 14:10:23,5.93,11,9.35,16,8.14,17,12.01,8
2026-09-02 14:11:21,5.19,18,9.64,27,5.92,12,10.37,13
2026-09-02 14:12:20,9.68,24,11.67,20,7.12,3,15.69,22
2026-09-02 14:13:18,12.94,29,9.65,9,6.22,21,7.31,15
2026-09-02 14:14:17,11.0,21,10.18,25,5.63,8,15.03,30
2026-09-02 14:15:15,12.0,23,12.94,26,6.25,17,18.71,29
2026-09-02 14:16:13,10.7,28,12.95,26,8.28,4,18.52,29
2026-09-02 14:17:12,11.31,37,11.39,19,6.94,5,22.79,28
2026-09-02 14:18:10,9.22,16,12.18,21,7.92,9,29.23,44
2026-09-02 14:19:09,6.19,19,10.47,15,7.91,9,24.27,25
2026-09-02 14:20:07,4.19,11,10.61,13,6.02,17,23.52,28
2026-09-02 14:21:05,7.04,22,13.08,29,7.33,2,21.69,16
2026-09-02 14:22:04,12.21,28,15.08,20,6.27,12,21.12,19
2026-09-02 14:23:02,11.64,31,10.73,14,4.96,4,16.59,30
2026-09-02 14:24:01,9.82,5,11.82,16,4.88,13,13.0,19
2026-09-02 14:24:59,13.25,24,14.41,32,4.91,11,16.26,8
2026-09-02 14:25:57,12.2,20,12.11,24,6.31,8,13.61,20
2026-09-02 14:26:56,11.31,23,11.97,16,5.76,24,17.94,22
2026-09-02 14:27:54,11.06,19,13.81,20,7.78,12,19.99,17
2026-09-02 14:28:53,10.19,18,11.83,21,7.64,19,16.16,25
2026-09-02 14:29:51,9.34,25,12.09,24,6.57,3,17.16,21
2026-09-02 14:30:49,6.74,28,11.47,8,5.8,10,16.6,23
2026-09-02 14:31:48,8.78,3,8.21,19,6.46,12,15.39,29
2026-09-02 14:32:46,8.89,18,9.76,14,4.47,10,19.84,21
2026-09-02 14:33:45,11.35,26,9.87,12,3.12,6,18.06,33
2026-09-02 14:34:43,9.92,22,11.65,16,3.68,4,17.79,22
2026-09-02 14:35:41,6.22,14,14.52,26,5.61,1,8.78,14
2026-09-02 14:36:40,7.35,10,14.07,31,6.3,8,13.7,31
2026-09-02 14:37:38,11.36,19,12.17,19,6.54,6,8.37,19
2026-09-02 14:38:37,9.91,26,12.3,22,6.44,10,9.46,13
2026-09-02 14:39:35,8.1,25,11.99,14,4.3,14,18.24,23
2026-09-02 14:40:33,6.45,17,13.08,23,4.98,23,24.23,31
2026-09-02 14:41:32,5.73,10,9.93,21,3.86,12,18.98,13
2026-09-02 14:42:30,6.69,17,8.47,5,5.94,17,12.3,24
2026-09-02 14:43:29,5.63,14,6.24,8,6.3,15,15.04,21
2026-09-02 14:44:27,9.97,25,8.99,20,6.43,16,13.45,10
2026-09-02 14:45:25,9.28,22,9.68,5,7.03,15,15.5,14
2026-09-02 14:46:24,9.59,18,9.14,13,7.31,11,9.87,24
2026-09-02 14:47:22,12.24,27,8.68,18,7.38,10,16.54,13
2026-09-02 14:48:21,13.96,21,8.65,4,7.55,14,22.3,45
2026-09-02 14:49:19,11.81,30,8.08,11,6.66,22,13.57,12
2026-09-02 14:50:17,11.53,32,8.68,15,5.34,15,11.09,20
2026-09-02 14:51:16,12.12,18,8.78,20,6.32,21,9.92,1
2026-09-02 14:52:14,10.76,26,11.74,10,8.08,5,15.04,21
2026-09-02 14:53:13,7.0,11,11.88,25,8.68,15,7.13,10
2026-09-02 14:54:11,9.26,27,10.21,18,7.75,15,11.25,22
2026-09-02 14:55:09,11.07,29,9.57,23,8.06,16,11.95,20
2026-09-02 14:56:08,11.27,23,11.94,25,7.14,4,10.09,14
2026-09-02 14:57:06,8.91,26,12.21,21,7.46,1,15.08,39
2026-09-02 14:58:05,8.85,18,12.14,21,6.61,1,7.28,21
2026-09-02 14:59:03,8.09,15,12.76,9,6.89,9,4.97,6
2026-09-02 15:00:01,8.18,16,14.47,13,9.03,28,5.99,16
2026-09-02 15:01:00,11.2,23,11.18,11,9.02,15,12.69,1
2026-09-02 15:01:58,13.45,26,9.93,14,9.78,7,12.42,14
2026-09-02 15:02:57,13.21,28,7.66,19,7.84,15,10.31,27
2026-09-02 15:03:55,12.85,23,9.75,5,6.77,10,14.39,16
2026-09-02 15:04:53,12.88,31,9.66,14,6.82,13,12.94,21
2026-09-02 15:05:52,11.62,31,9.16,7,7.48,10,11.42,9
2026-09-02 15:06:50,10.76,20,8.72,5,7.07,4,11.92,25
2026-09-02 15:07:49,9.14,12,10.71,26,8.12,10,14.84,22
2026-09-02 15:08:47,9.32,25,10.62,17,7.1,16,26.21,31
2026-09-02 15:09:45,13.73,35,9.98,26,8.51,15,17.65,31
2026-09-02 15:10:44,13.81,27,12.35,26,8.95,21,18.08,37
2026-09-02 15:11:42,11.61,17,10.23,11,7.01,6,16.61,29
2026-09-02 15:12:41,10.06,24,8.63,3,7.65,19,15.31,8
2026-09-02 15:13:39,8.41,29,13.63,33,7.18,13,21.8,30
2026-09-02 15:14:37,9.73,10,12.06,16,8.22,14,22.68,30
2026-09-02 15:15:36,10.56,26,10.86,10,7.2,20,22.82,19
2026-09-02 15:16:34,7.66,16,9.86,20,7.49,12,18.34,11
2026-09-02 15:17:33,9.51,16,10.18,17,7.92,15,14.07,17
2026-09-02 15:18:31,8.67,23,11.8,14,4.69,14,16.18,20
2026-09-02 15:19:29,11.88,17,12.73,17,3.68,13,15.1,21
2026-09-02 15:20:28,11.45,26,12.97,21,5.2,15,13.3,14
2026-09-02 15:21:26,14.1,36,11.86,19,5.85,19,17.31,24
2026-09-02 15:22:25,11.67,26,9.33,20,7.45,16,12.1,21
2026-09-02 15:23:23,10.53,18,10.55,15,7.58,10,10.94,15
2026-09-02 15:24:21,10.94,13,13.2,18,6.08,26,16.44,25
2026-09-02 15:25:20,12.61,18,14.1,25,6.87,12,16.21,17
2026-09-02 15:26:18,12.7,15,12.74,21,6.22,14,19.15,12
2026-09-02 15:27:17,9.43,31,13.43,27,6.38,7,14.75,21
2026-09-02 15:28:15,10.1,21,12.02,17,6.18,1,18.46,31
2026-09-02 15:29:13,10.22,16,11.69,17,6.98,8,14.96,43
2026-09-02 15:30:12,9.46,13,9.68,9,5.58,11,21.29,10
2026-09-02 15:31:10,8.61,13,9.9,25,5.07,13,22.81,24
2026-09-02 15:32:09,12.55,24,10.74,9,3.6,9,22.41,21
2026-09-02 15:33:07,10.96,16,10.78,18,7.35,17,26.56,34
2026-09-02 15:34:05,9.17,31,12.26,13,6.27,17,24.24,22
2026-09-02 15:35:04,10.85,19,14.87,24,5.78,17,18.88,26
2026-09-02 15:36:02,10.94,19,15.57,27,5.17,10,24.58,38
